bin_id,timestamp,fill_level,weight_kg,battery_level,status,rssi
1,2026-01-01 00:00:00,21,2.52,85.96,OK,-56
1,2026-01-01 01:00:00,22,2.64,85.92,OK,-69
1,2026-01-01 02:00:00,25,3.0,85.91,OK,-67
1,2026-01-01 03:00:00,27,3.24,85.89,OK,-56
1,2026-01-01 04:00:00,30,3.6,85.85,OK,-71
1,2026-01-01 05:00:00,30,3.6,85.83,OK,-67
1,2026-01-01 06:00:00,32,3.84,85.8,OK,-85
1,2026-01-01 07:00:00,32,3.84,85.76,OK,-58
1,2026-01-01 08:00:00,32,3.84,85.74,OK,-65
1,2026-01-01 09:00:00,32,3.84,85.72,OK,-82
1,2026-01-01 10:00:00,33,3.96,85.69,OK,-84
1,2026-01-01 11:00:00,39,4.68,85.66,OK,-63
1,2026-01-01 12:00:00,40,4.8,85.65,OK,-70
1,2026-01-01 13:00:00,46,5.52,85.61,OK,-65
1,2026-01-01 14:00:00,49,5.88,85.59,OK,-55
1,2026-01-01 15:00:00,55,6.6,85.56,OK,-62
1,2026-01-01 16:00:00,58,6.96,85.55,OK,-66
1,2026-01-01 17:00:00,59,7.08,85.5,OK,-66
1,2026-01-01 18:00:00,63,7.56,85.48,OK,-68
1,2026-01-01 19:00:00,65,7.8,85.43,OK,-57
1,2026-01-01 20:00:00,69,8.28,85.41,OK,-72
1,2026-01-01 21:00:00,73,8.76,85.38,OK,-76
1,2026-01-01 22:00:00,74,8.88,85.37,OK,-58
1,2026-01-01 23:00:00,75,9.0,85.33,OK,-71
1,2026-01-02 00:00:00,77,9.24,85.3,OK,-82
1,2026-01-02 01:00:00,77,9.24,85.27,OK,-56
1,2026-01-02 02:00:00,80,9.6,85.25,WARNING,-79
1,2026-01-02 03:00:00,81,9.72,85.21,WARNING,-63
1,2026-01-02 04:00:00,83,9.96,85.16,WARNING,-65
1,2026-01-02 05:00:00,84,10.08,85.12,WARNING,-65
1,2026-01-02 06:00:00,87,10.44,85.08,WARNING,-60
1,2026-01-02 07:00:00,90,10.8,85.03,WARNING,-62
1,2026-01-02 08:00:00,90,10.8,85.0,WARNING,-63
1,2026-01-02 09:00:00,92,11.04,84.96,WARNING,-75
1,2026-01-02 10:00:00,93,11.16,84.94,WARNING,-61
1,2026-01-02 11:00:00,97,11.64,84.93,FULL,-61
1,2026-01-02 12:00:00,100,12.0,84.92,FULL,-70
1,2026-01-02 13:00:00,32,3.84,84.88,OK,-76
1,2026-01-02 14:00:00,34,4.08,84.86,OK,-72
1,2026-01-02 15:00:00,39,4.68,84.83,OK,-78
1,2026-01-02 16:00:00,42,5.04,84.8,OK,-78
1,2026-01-02 17:00:00,44,5.28,84.77,OK,-70
1,2026-01-02 18:00:00,47,5.64,84.74,OK,-60
1,2026-01-02 19:00:00,51,6.12,84.7,OK,-81
1,2026-01-02 20:00:00,54,6.48,84.66,OK,-78
1,2026-01-02 21:00:00,58,6.96,84.64,OK,-80
1,2026-01-02 22:00:00,59,7.08,84.62,OK,-69
1,2026-01-02 23:00:00,62,7.44,84.6,OK,-78
1,2026-01-03 00:00:00,64,7.68,84.56,OK,-79
1,2026-01-03 01:00:00,65,7.8,84.51,OK,-74
1,2026-01-03 02:00:00,68,8.16,84.49,OK,-72
1,2026-01-03 03:00:00,68,8.16,84.44,OK,-64
1,2026-01-03 04:00:00,68,8.16,84.4,OK,-65
1,2026-01-03 05:00:00,71,8.52,84.37,OK,-67
1,2026-01-03 06:00:00,73,8.76,84.35,OK,-85
1,2026-01-03 07:00:00,73,8.76,84.32,OK,-78
1,2026-01-03 08:00:00,73,8.76,84.28,OK,-58
1,2026-01-03 09:00:00,75,9.0,84.26,OK,-66
1,2026-01-03 10:00:00,77,9.24,84.21,OK,-82
1,2026-01-03 11:00:00,79,9.48,84.18,OK,-67
1,2026-01-03 12:00:00,83,9.96,84.17,WARNING,-60
1,2026-01-03 13:00:00,87,10.44,84.13,WARNING,-70
1,2026-01-03 14:00:00,93,11.16,84.1,WARNING,-59
1,2026-01-03 15:00:00,96,11.52,84.08,FULL,-82
1,2026-01-03 16:00:00,96,11.52,84.07,FULL,-77
1,2026-01-03 17:00:00,97,11.64,84.03,FULL,-65
1,2026-01-03 18:00:00,100,12.0,84.0,FULL,-84
1,2026-01-03 19:00:00,16,1.92,83.97,OK,-58
1,2026-01-03 20:00:00,18,2.16,83.92,OK,-60
1,2026-01-03 21:00:00,22,2.64,83.9,OK,-62
1,2026-01-03 22:00:00,23,2.76,83.88,OK,-83
1,2026-01-03 23:00:00,25,3.0,83.86,OK,-81
1,2026-01-04 00:00:00,26,3.12,83.85,OK,-55
1,2026-01-04 01:00:00,29,3.48,83.83,OK,-70
1,2026-01-04 02:00:00,29,3.48,83.79,OK,-63
1,2026-01-04 03:00:00,32,3.84,83.74,OK,-62
1,2026-01-04 04:00:00,34,4.08,83.71,OK,-57
1,2026-01-04 05:00:00,36,4.32,83.69,OK,-83
1,2026-01-04 06:00:00,37,4.44,83.65,OK,-78
1,2026-01-04 07:00:00,37,4.44,83.64,OK,-64
1,2026-01-04 08:00:00,40,4.8,83.62,OK,-58
1,2026-01-04 09:00:00,42,5.04,83.61,OK,-78
1,2026-01-04 10:00:00,43,5.16,83.58,OK,-74
1,2026-01-04 11:00:00,46,5.52,83.55,OK,-81
1,2026-01-04 12:00:00,50,6.0,83.54,OK,-57
1,2026-01-04 13:00:00,54,6.48,83.49,OK,-75
1,2026-01-04 14:00:00,58,6.96,83.47,OK,-67
1,2026-01-04 15:00:00,64,7.68,83.44,OK,-71
1,2026-01-04 16:00:00,64,7.68,83.42,OK,-77
1,2026-01-04 17:00:00,66,7.92,83.4,OK,-69
1,2026-01-04 18:00:00,67,8.04,83.36,OK,-68
1,2026-01-04 19:00:00,71,8.52,83.34,OK,-57
1,2026-01-04 20:00:00,73,8.76,83.29,OK,-79
1,2026-01-04 21:00:00,78,9.36,83.28,OK,-85
1,2026-01-04 22:00:00,78,9.36,83.27,OK,-62
1,2026-01-04 23:00:00,79,9.48,83.22,OK,-82
1,2026-01-05 00:00:00,80,9.6,83.2,WARNING,-61
1,2026-01-05 01:00:00,83,9.96,83.16,WARNING,-60
1,2026-01-05 02:00:00,83,9.96,83.12,WARNING,-81
1,2026-01-05 03:00:00,86,10.32,83.1,WARNING,-76
1,2026-01-05 04:00:00,87,10.44,83.09,WARNING,-81
1,2026-01-05 05:00:00,89,10.68,83.06,WARNING,-55
1,2026-01-05 06:00:00,92,11.04,83.02,WARNING,-72
1,2026-01-05 07:00:00,94,11.28,82.97,WARNING,-64
1,2026-01-05 08:00:00,95,11.4,82.95,FULL,-81
1,2026-01-05 09:00:00,98,11.76,82.92,FULL,-77
1,2026-01-05 10:00:00,98,11.76,82.87,FULL,-67
1,2026-01-05 11:00:00,100,12.0,82.83,FULL,-81
1,2026-01-05 12:00:00,32,3.84,82.81,OK,-67
1,2026-01-05 13:00:00,36,4.32,82.79,OK,-85
1,2026-01-05 14:00:00,39,4.68,82.77,OK,-81
1,2026-01-05 15:00:00,42,5.04,82.76,OK,-84
1,2026-01-05 16:00:00,45,5.4,82.75,OK,-77
1,2026-01-05 17:00:00,48,5.76,82.74,OK,-64
1,2026-01-05 18:00:00,53,6.36,82.72,OK,-65
1,2026-01-05 19:00:00,58,6.96,82.69,OK,-82
1,2026-01-05 20:00:00,61,7.32,82.66,OK,-66
1,2026-01-05 21:00:00,66,7.92,82.62,OK,-75
1,2026-01-05 22:00:00,69,8.28,82.58,OK,-76
1,2026-01-05 23:00:00,72,8.64,82.54,OK,-71
1,2026-01-06 00:00:00,74,8.88,82.51,OK,-72
1,2026-01-06 01:00:00,74,8.88,82.49,OK,-63
1,2026-01-06 02:00:00,77,9.24,82.47,OK,-65
1,2026-01-06 03:00:00,78,9.36,82.45,OK,-60
1,2026-01-06 04:00:00,80,9.6,82.4,WARNING,-57
1,2026-01-06 05:00:00,82,9.84,82.36,WARNING,-76
