Identifiant,Nom du commerce,Numéro voie,Nom voie,Code postal,Nom commune,Longitude,Latitude,geo_shape,geo_point_2d,zone,commerce_address
1108,LES DELICES DU KASHMIR,19,RUE DU DEPART,0,,2.323469,48.842443,"{""coordinates"": [2.323468999435184, 48.84244299934488], ""type"": ""Point""}","48.84244299934488, 2.323468999435184",Necker,19 RUE DU DEPART
1130,KHUNTHEA ANG,11,RUE D ODESSA,0,,2.324658,48.842411,"{""coordinates"": [2.3246580000585824, 48.84241099903032], ""type"": ""Point""}","48.84241099903032, 2.3246580000585824",Necker,11 RUE D ODESSA
2231,LE TOURVILLE,16,AVENUE DE TOURVILLE 75007 PARIS,0,,2.307837,48.854214,"{""coordinates"": [2.3078370004791684, 48.85421399913868], ""type"": ""Point""}","48.85421399913868, 2.3078370004791684",Necker,16 AVENUE DE TOURVILLE 75007 PARIS
2245,BABA BEY,0,BOULEVARD DU MONTPARNASSE 75006 PARIS,0,,2.322827,48.844443,"{""coordinates"": [2.3228270003248803, 48.84444299927033], ""type"": ""Point""}","48.84444299927033, 2.3228270003248803",Necker,0 BOULEVARD DU MONTPARNASSE 75006 PARIS
893,CAFE MONTPARNASSE,8,PLACE DU DIX-HUIT JUIN 1940,0,,2.323557,48.844226,"{""coordinates"": [2.32355699952562, 48.8442259989886], ""type"": ""Point""}","48.8442259989886, 2.32355699952562",Necker,8 PLACE DU DIX-HUIT JUIN 1940
1029,LE COMPTOIR CORREZIEN,8,RUE DES VOLONTAIRES,0,,2.306621,48.84323,"{""coordinates"": [2.306621000101992, 48.84322999893749], ""type"": ""Point""}","48.84322999893749, 2.306621000101992",Saint-Lambert,8 RUE DES VOLONTAIRES
1063,L ENTREMETS,1,RUE FALGUIERE,0,,2.317723,48.844193,"{""coordinates"": [2.317722999941106, 48.84419299861961], ""type"": ""Point""}","48.84419299861961, 2.317722999941106",Necker,1 RUE FALGUIERE
1873,FRANPRIX,160,AVENUE DE VERSAILLES,0,,2.264136,48.840461,"{""coordinates"": [2.264136000008748, 48.840460999229926], ""type"": ""Point""}","48.840460999229926, 2.264136000008748",Javel,160 AVENUE DE VERSAILLES
1076,MAMIE LUCIENNE MONTPARNASSE,14,AVENUE DU MAINE,0,,2.320099,48.843893,"{""coordinates"": [2.3200989997492916, 48.84389299917522], ""type"": ""Point""}","48.84389299917522, 2.3200989997492916",Necker,14 AVENUE DU MAINE
1120,EDEN BIO,72,RUE DU CHERCHE-MIDI,0,,2.324015,48.848309,"{""coordinates"": [2.3240150003634867, 48.84830899866597], ""type"": ""Point""}","48.84830899866597, 2.3240150003634867",Necker,72 RUE DU CHERCHE-MIDI
1126,A LA DUCHESSE ANNE,5,PLACE DU DIX-HUIT JUIN 1940,0,,2.324486,48.844003,"{""coordinates"": [2.324485999931116, 48.84400299873132], ""type"": ""Point""}","48.84400299873132, 2.324485999931116",Necker,5 PLACE DU DIX-HUIT JUIN 1940
2359,BIO C  BON FONDARY,3,RUE FONDARY 75015 PARIS,0,,2.29127,48.848919,"{""coordinates"": [2.2912699994530756, 48.84891899897457], ""type"": ""Point""}","48.84891899897457, 2.2912699994530756",Grenelle,3 RUE FONDARY 75015 PARIS
2246,HERBORISTERIE KAMOMILLE,111,RUE DU THEATRE 75015 PARIS,0,,2.295008,48.846323,"{""coordinates"": [2.2950080006314755, 48.84632299884933], ""type"": ""Point""}","48.84632299884933, 2.2950080006314755",Grenelle,111 RUE DU THEATRE 75015 PARIS
891,LE 51,51,BOULEVARD DU MONTPARNASSE,0,,2.322397,48.844585,"{""coordinates"": [2.322397000550295, 48.844584998731555], ""type"": ""Point""}","48.844584998731555, 2.322397000550295",Necker,51 BOULEVARD DU MONTPARNASSE
1013,LIBRAIRIE LA 25E HEURE,8,PLACE DU GENERAL BEURET,0,,2.302825,48.841783,"{""coordinates"": [2.302824999694255, 48.8417829989966], ""type"": ""Point""}","48.8417829989966, 2.302824999694255",Saint-Lambert,8 PLACE DU GENERAL BEURET
1032,RESSOURCERIE LA FABRIQUE 230,77,RUE CASTAGNARY,0,,2.307108,48.831515,"{""coordinates"": [2.307108000664683, 48.831514998924185], ""type"": ""Point""}","48.831514998924185, 2.307108000664683",Saint-Lambert,77 RUE CASTAGNARY
1070,CREATIONS ET SUR MESURE,22,RUE MAYET,0,,2.319306,48.846189,"{""coordinates"": [2.3193060000005863, 48.84618899897436], ""type"": ""Point""}","48.84618899897436, 2.3193060000005863",Necker,22 RUE MAYET
1959,METRO BALARD,10,BOULEVARD VICTOR,0,,2.277342,48.8349826,"{""coordinates"": [2.2773419996239834, 48.834982598948194], ""type"": ""Point""}","48.834982598948194, 2.2773419996239834",Javel,10 BOULEVARD VICTOR
2306,LE BISTROT DES AMIS,67,RUE DU CHERCHE-MIDI 75006 PARIS,0,,2.323995,48.848116,"{""coordinates"": [2.3239950000533973, 48.8481159988843], ""type"": ""Point""}","48.8481159988843, 2.3239950000533973",Necker,67 RUE DU CHERCHE-MIDI 75006 PARIS
987,LADY CHIC PARIS,28,AVENUE FELIX FAURE,0,,2.289596,48.841899,"{""coordinates"": [2.2895960004780753, 48.84189899862985], ""type"": ""Point""}","48.84189899862985, 2.2895960004780753",Saint-Lambert,28 AVENUE FELIX FAURE
