feature,importance
fill_level_lag1,0.5004588
fill_trend_7d,0.18666677
collected,0.14905252
hours_since_collection,0.09155184
fill_level_lag2,0.064179525
fill_level_lag3,0.0039705
fill_delta_1h,0.0005392828
fill_rate_lag1,0.00053099415
activity_enc,0.00031270864
commerce_count,0.00030362452
hour_cos,0.00023230822
dow_sin,0.00022896094
fill_rate_mean_7d,0.00019939833
month_sin,0.00019542463
fill_std_7d,0.00018033787
fill_delta_2h,0.00016895213
fill_max_7d,0.00014741346
fill_rate_lag2,0.00012199847
hour_sin,9.829852e-05
fill_mean_7d,9.4034265e-05
rssi,9.029629e-05
battery_level,8.822131e-05
type_bin_enc,8.56721e-05
dow_cos,7.8012796e-05
wspd,7.2366e-05
temp,6.487136e-05
weight_kg_lag1,6.131889e-05
rssi_lag1,6.118422e-05
rhum,5.997849e-05
month_cos,4.7865477e-05
prcp,1.8150808e-05
is_weekend,1.470075e-05
zone_enc,1.4227168e-05
density_hab_km2,9.434348e-06
