feature,importance
fill_trend_7d,0.43120712
fill_level_lag1,0.3164005
collected,0.08534274
hours_since_collection,0.08373393
fill_level_lag2,0.0736401
fill_level_lag3,0.004386531
fill_rate_lag1,0.000586774
fill_delta_1h,0.00050624483
weight_kg_lag1,0.00047392756
fill_delta_2h,0.0004263634
hour_cos,0.00034507288
commerce_count,0.00030991237
dow_cos,0.00030519476
activity_enc,0.00027948586
dow_sin,0.00023757582
fill_rate_mean_7d,0.00019186882
fill_std_7d,0.00018507564
hour_sin,0.00017111158
fill_max_7d,0.00016574975
month_sin,0.0001376203
fill_rate_lag2,0.00013747803
fill_mean_7d,0.000120794575
rssi,0.00011852484
wspd,8.7726534e-05
fill_rate_lag3,7.928656e-05
battery_level,7.092407e-05
rhum,7.0870636e-05
month_cos,6.5390894e-05
temp,6.368092e-05
type_bin_enc,4.6632063e-05
rssi_lag1,4.5374065e-05
zone_enc,1.9244233e-05
prcp,1.5465617e-05
is_weekend,1.3703464e-05
density_hab_km2,1.2055921e-05
