bin_id,cycle_id,timestamp,fill_real,fill_pred,error_fill,time_to_90_real,time_to_90_pred,error_time_h,error_time_min
5373,69,2025-10-25 07:00:00,76.37,75.231064,1.1389389,11.999999,10.049219,1.9507799,117.0468
5490,49,2025-10-25 07:00:00,85.32,82.567825,2.7521744,8.0,7.305319,0.69468117,41.68087
5607,95,2025-10-25 07:00:00,76.62,78.33586,1.7158585,9.0,8.34528,0.6547203,39.28322
5688,82,2025-10-25 07:00:00,84.83,83.528625,1.3013763,5.0,5.6947513,0.69475126,41.685074
5688,82,2025-10-25 08:00:00,85.99,84.83647,1.1535263,4.0,5.2851605,1.2851605,77.109634
5607,95,2025-10-25 08:00:00,78.29,79.78886,1.4988556,8.0,7.4915514,0.5084486,30.506916
4783,68,2025-10-25 08:00:00,75.78,75.29565,0.4843521,13.000001,9.878093,3.1219082,187.31448
5373,69,2025-10-25 08:00:00,77.09,75.53949,1.5505066,11.0,9.850416,1.1495838,68.97503
5490,49,2025-10-25 08:00:00,86.0,83.11873,2.8812714,7.0,6.4906774,0.50932264,30.559359
4783,68,2025-10-25 09:00:00,75.9,75.574265,0.325737,11.999999,9.590079,2.4099197,144.59518
5490,49,2025-10-25 09:00:00,86.63,83.95903,2.670967,5.9999995,5.9742556,0.025743961,1.5446377
5688,82,2025-10-25 09:00:00,87.22,86.44898,0.771019,3.0,4.14115,1.14115,68.469
5607,95,2025-10-25 09:00:00,79.91,81.680565,1.7705612,7.0,6.548776,0.45122385,27.073431
5373,69,2025-10-25 09:00:00,78.18,76.00341,2.17659,10.000001,9.480963,0.5190382,31.142292
5688,82,2025-10-25 10:00:00,88.48,88.17659,0.3034134,2.0,3.0414505,1.0414505,62.48703
5490,49,2025-10-25 10:00:00,87.07,85.07476,1.9952393,5.0,5.448034,0.4480338,26.882029
5607,95,2025-10-25 10:00:00,81.41,82.85254,1.4425354,5.9999995,5.94753,0.05246973,3.1481838
5373,69,2025-10-25 10:00:00,79.43,77.187416,2.2425842,9.0,8.940533,0.059467316,3.568039
4783,68,2025-10-25 10:00:00,77.76,75.63293,2.1270752,11.0,9.327601,1.6723986,100.34392
5688,82,2025-10-25 11:00:00,90.04,89.02801,1.0119934,1.0,2.4845629,1.4845629,89.07378
5490,49,2025-10-25 11:00:00,88.16,85.952225,2.207779,4.0,4.7426333,0.74263334,44.558
5607,95,2025-10-25 11:00:00,83.16,83.552414,0.39241028,5.0,5.357059,0.357059,21.42354
4783,68,2025-10-25 11:00:00,78.75,77.07432,1.6756821,10.000001,8.802036,1.1979647,71.877884
5373,69,2025-10-25 11:00:00,80.91,79.33049,1.5795135,8.0,8.076137,0.07613659,4.5681953
4783,68,2025-10-25 12:00:00,79.42,78.77834,0.64165497,9.0,8.072193,0.92780685,55.66841
5373,69,2025-10-25 12:00:00,81.68,81.6597,0.020301819,7.0,6.8073463,0.19265366,11.559219
5490,49,2025-10-25 12:00:00,88.78,86.985725,1.7942734,3.0,3.6717815,0.67178154,40.306892
5607,95,2025-10-25 12:00:00,85.1,84.79144,0.3085556,4.0,4.8078465,0.80784655,48.470795
5490,49,2025-10-25 13:00:00,89.65,88.44568,1.2043228,2.0,2.841648,0.8416481,50.498886
4783,68,2025-10-25 13:00:00,80.81,80.58283,0.22716522,8.0,7.2310867,0.76891327,46.134796
5607,95,2025-10-25 13:00:00,86.79,86.92398,0.1339798,3.0,3.7386332,0.73863316,44.31799
5373,69,2025-10-25 13:00:00,83.53,82.757484,0.77251434,5.9999995,6.1166573,0.116657734,6.999464
5373,69,2025-10-25 14:00:00,84.64,83.919075,0.7209244,5.0,5.480852,0.48085213,28.851128
5490,49,2025-10-25 14:00:00,90.52,89.45924,1.0607529,1.0,1.9353938,0.9353938,56.123627
4783,68,2025-10-25 14:00:00,82.31,82.2352,0.074798584,7.0,6.3753796,0.62462044,37.477226
