Identifiant,Adresse,Arrondissement,Statut de l'emplacement,geo_shape,geo_point_2d
4787,28 PLACE ETIENNE PERNET,75015,Mobilier en service,"{""coordinates"": [2.2924195144760406, 48.84326042612708], ""type"": ""Point""}","48.84326042612708, 2.2924195144760406"
5271,136 RUE DU CHERCHE MIDI,75015,Mobilier en service,"{""coordinates"": [2.3184299074632913, 48.84509116958836], ""type"": ""Point""}","48.84509116958836, 2.3184299074632913"
5615,12 RUE SAINT AMAND,75015,Mobilier en service,"{""coordinates"": [2.3074523280954735, 48.83531674847698], ""type"": ""Point""}","48.83531674847698, 2.3074523280954735"
4784,35 RUE CAUCHY,75015,Mobilier en service,"{""coordinates"": [2.280438802033436, 48.84142295133607], ""type"": ""Point""}","48.84142295133607, 2.280438802033436"
5490,203 RUE DE LOURMEL,75015,Mobilier en service,"{""coordinates"": [2.280924042362985, 48.836708832050064], ""type"": ""Point""}","48.836708832050064, 2.280924042362985"
5266,24Z RUE FREMICOURT,75015,Mobilier en service,"{""coordinates"": [2.299147135804204, 48.84746239760054], ""type"": ""Point""}","48.84746239760054, 2.299147135804204"
5320,49 AVENUE ALBERT BARTHOLOME,75015,Mobilier en service,"{""coordinates"": [2.299723800379787, 48.827826157889554], ""type"": ""Point""}","48.827826157889554, 2.299723800379787"
5627,66Z RUE LEBLANC,75015,Mobilier en service,"{""coordinates"": [2.27579931028513, 48.83761628537246], ""type"": ""Point""}","48.83761628537246, 2.27579931028513"
4786,28 RUE DES QUATRE FRERES PEIGNOT,75015,Mobilier en service,"{""coordinates"": [2.2825185689456027, 48.84567322490947], ""type"": ""Point""}","48.84567322490947, 2.2825185689456027"
5491,64 RUE BALARD,75015,Mobilier en service,"{""coordinates"": [2.277905288890665, 48.840256812712774], ""type"": ""Point""}","48.840256812712774, 2.277905288890665"
5629,25 RUE DU CLOS FEUQUIERES,75015,Mobilier en service,"{""coordinates"": [2.292492181261932, 48.836327082019], ""type"": ""Point""}","48.836327082019, 2.292492181261932"
4782,77 RUE D ALLERAY,75015,Mobilier en service,"{""coordinates"": [2.3082242303188467, 48.83635592052358], ""type"": ""Point""}","48.83635592052358, 2.3082242303188467"
5373,1 PLACE CHANTAL MAUDUIT,75015,Mobilier en service,"{""coordinates"": [2.3039488655327145, 48.83070807028265], ""type"": ""Point""}","48.83070807028265, 2.3039488655327145"
5673,17 RUE ALPHONSE BERTILLON,75015,Mobilier en service,"{""coordinates"": [2.3109209525181353, 48.83455198908093], ""type"": ""Point""}","48.83455198908093, 2.3109209525181353"
5684,55 BOULEVARD GARIBALDI,75015,Mobilier en service,"{""coordinates"": [2.308097241223072, 48.846117194342135], ""type"": ""Point""}","48.846117194342135, 2.308097241223072"
5378,6 RUE DES CEVENNES,75015,Mobilier en service,"{""coordinates"": [2.2764392261793467, 48.844285936486344], ""type"": ""Point""}","48.844285936486344, 2.2764392261793467"
4783,1 RUE PECLET,75015,Mobilier en service,"{""coordinates"": [2.2986633343328196, 48.84345748726712], ""type"": ""Point""}","48.84345748726712, 2.2986633343328196"
4781,157 RUE BLOMET,75015,Mobilier en service,"{""coordinates"": [2.2945823265226526, 48.83787548597283], ""type"": ""Point""}","48.83787548597283, 2.2945823265226526"
5685,9 RUE SAINT SAENS,75015,Mobilier en service,"{""coordinates"": [2.2919009157033217, 48.853777907941634], ""type"": ""Point""}","48.853777907941634, 2.2919009157033217"
5688,4 RUE SAINT CHARLES,75015,Mobilier en service,"{""coordinates"": [2.290301942012329, 48.85221955310657], ""type"": ""Point""}","48.85221955310657, 2.290301942012329"
5607,45 RUE DES MORILLONS,75015,Mobilier en service,"{""coordinates"": [2.2998029406471625, 48.833024735530586], ""type"": ""Point""}","48.833024735530586, 2.2998029406471625"
